,profit,projects_done,long_proj_duration,path
1,72.0,1.0,2.0,solved/instance_0/workforce_scheduling46043.npz
2,197.0,1.0,3.0,solved/instance_0/workforce_scheduling78049.npz
3,266.0,1.0,5.0,solved/instance_0/workforce_scheduling463.npz
4,282.0,1.0,9.0,solved/instance_0/workforce_scheduling71213.npz
5,293.0,1.0,15.0,solved/instance_0/workforce_scheduling21554.npz
6,187.0,2.0,2.0,solved/instance_0/workforce_scheduling49833.npz
7,228.0,2.0,3.0,solved/instance_0/workforce_scheduling41334.npz
8,324.0,2.0,5.0,solved/instance_0/workforce_scheduling69198.npz
9,350.0,2.0,7.0,solved/instance_0/workforce_scheduling897.npz
10,356.0,2.0,8.0,solved/instance_0/workforce_scheduling97835.npz
11,368.0,2.0,14.0,solved/instance_0/workforce_scheduling50537.npz
12,401.0,2.0,15.0,solved/instance_0/workforce_scheduling88181.npz
13,236.0,3.0,2.0,solved/instance_0/workforce_scheduling25823.npz
14,291.0,3.0,3.0,solved/instance_0/workforce_scheduling82567.npz
15,295.0,3.0,4.0,solved/instance_0/workforce_scheduling56069.npz
16,375.0,3.0,5.0,solved/instance_0/workforce_scheduling18915.npz
17,414.0,3.0,9.0,solved/instance_0/workforce_scheduling1907.npz
18,427.0,3.0,11.0,solved/instance_0/workforce_scheduling54641.npz
19,279.0,4.0,2.0,solved/instance_0/workforce_scheduling29569.npz
20,359.0,4.0,3.0,solved/instance_0/workforce_scheduling28116.npz
21,412.0,4.0,5.0,solved/instance_0/workforce_scheduling60126.npz
22,424.0,4.0,8.0,solved/instance_0/workforce_scheduling67284.npz
23,427.0,4.0,9.0,solved/instance_0/workforce_scheduling53122.npz
24,314.0,5.0,2.0,solved/instance_0/workforce_scheduling89238.npz
25,406.0,5.0,3.0,solved/instance_0/workforce_scheduling64011.npz
26,427.0,5.0,6.0,solved/instance_0/workforce_scheduling20450.npz
27,427.0,6.0,4.0,solved/instance_0/workforce_scheduling72229.npz
28,404.0,7.0,2.0,solved/instance_0/workforce_scheduling72452.npz
29,427.0,7.0,3.0,solved/instance_0/workforce_scheduling12275.npz
30,194.0,8.0,1.0,solved/instance_0/workforce_scheduling56427.npz
31,427.0,8.0,2.0,solved/instance_0/workforce_scheduling87262.npz
